index,inventory_id,set_num,quantity,index_inventories,id,version,set_num_inventories,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id,index_sets,name_sets,year_sets,theme_id_sets,num_parts_sets,index_themes_sets,id_sets,name_themes_sets,parent_id_sets
95,398,71010-5,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7485,Plant Monster,2015,552,7,466,552,Series 14 Minifigures,535.0
96,398,71010-6,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7486,Fly Monster,2015,552,5,466,552,Series 14 Minifigures,535.0
97,398,71010-7,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7487, Spectre,2015,552,7,466,552,Series 14 Minifigures,535.0
98,398,71010-8,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7488,Zombie Cheerleader,2015,552,7,466,552,Series 14 Minifigures,535.0
99,398,71010-9,1,275,398,1,71010-17,7480,LEGO Minifigures - Series 14 - Complete,2015,552,0,466,552,Series 14 Minifigures,535.0,7489,Tiger Woman,2015,552,7,466,552,Series 14 Minifigures,535.0
100,473,8756-1,1,326,473,1,65813-1,6413,Special Edition Co-Pack with Sidorak and Toa Iruini (8756 8762),2005,324,2,538,324,Bionicle,,10053,Sidorak,2005,347,211,310,347,Titans,324.0
101,473,8762-1,1,326,473,1,65813-1,6413,Special Edition Co-Pack with Sidorak and Toa Iruini (8756 8762),2005,324,2,538,324,Bionicle,,10059,Toa Iruini,2005,349,53,312,349,Toa Hagah,324.0
102,500,9677-1,1,347,500,1,5001307-1,4632,Buildable Galaxy Collection II,2012,177,3,168,177,Planet Series 2,158.0,10735,X-wing Starfighter & Yavin 4,2012,177,77,168,177,Planet Series 2,158.0
103,500,9678-1,1,347,500,1,5001307-1,4632,Buildable Galaxy Collection II,2012,177,3,168,177,Planet Series 2,158.0,10736,Twin-pod Cloud Car & Bespin,2012,177,78,168,177,Planet Series 2,158.0
104,500,9679-1,1,347,500,1,5001307-1,4632,Buildable Galaxy Collection II,2012,177,3,168,177,Planet Series 2,158.0,10737,AT-ST & Endor,2012,177,65,168,177,Planet Series 2,158.0
105,515,3741-1,1,358,515,1,KT105-1,11393,Large Train Engine Black,2001,238,0,225,238,My Own Train,236.0,2812,Large Locomotive (base unit without color trim elements),2001,238,91,225,238,My Own Train,236.0
106,515,3745-1,1,358,515,1,KT105-1,11393,Large Train Engine Black,2001,238,0,225,238,My Own Train,236.0,2817,Locomotive Black Bricks,2001,238,106,225,238,My Own Train,236.0
107,525,7121-1,1,364,525,1,VP-12,11651,Star Wars Co-Pack of 7121 and 7151,2000,166,2,157,166,Star Wars Episode 1,158.0,7635,Naboo Swamp,1999,166,82,157,166,Star Wars Episode 1,158.0
