index,id,version,set_num,index_sets,name,year,theme_id,num_parts,index_themes,id_sets,name_themes,parent_id
149,217,1,6328-1,6087,Helicopter Transport,1998,100,102,96,100,Police,94.0
150,218,1,60034-1,5606,Arctic Helicrane,2014,65,262,61,65,Arctic,52.0
151,220,1,2848-1,1830,Fright Knights Flying Machine,1997,195,19,185,195,Fright Knights,186.0
152,221,1,1248-1,708,Fire Boat,1999,50,24,505,50,Town,
153,222,1,8240-1,9278,Slammer Stunt Bike,2001,17,152,15,17,Speed Slammers,1.0
154,224,1,71017-1,7564,Lobster-Lovin’ Batman™,2017,484,7,405,484,Batman,482.0
155,225,1,5391-1,5202,9V Battery Box,1997,443,1,570,443,Service Packs,
156,226,1,LOC391412-1,11480,Worriz,2014,571,9,593,571,Legends of Chima,
157,227,1,7979-3,9004,Advent Calendar 2008 Castle  (Day 2) - Brick Arch with Flag and Shield,2008,219,10,207,219,Castle,217.0
158,228,1,7907-9,8860,Advent Calendar 2007 City (Day  8) Luggage Cart,2007,220,9,208,220,City,217.0
159,229,1,1966-1,1300,Car Repair Shop,1985,85,300,81,85,Traffic,67.0
160,232,1,2152-1,1557,Robo Raptor,1997,138,222,132,138,RoboForce,126.0
161,233,1,30281-1,2130,Micro Manager Battle,2014,578,27,597,578,The LEGO Movie,
162,234,1,75046-1,8037,Coruscant Police Gunship,2014,158,479,510,158,Star Wars,
163,236,1,40080-1,3075,Friends Pencil Holder,2013,501,142,584,501,Gear,
164,238,1,6695-1,6638,Shell Tanker,1984,76,106,72,76,Station,67.0
165,239,1,21114-1,1464,The Farm,2014,577,262,596,577,Minecraft,
166,240,1,1821-1,1203,Rally Racers,1996,82,195,78,82,Race,67.0
167,241,1,7687-15,8559,Advent Calendar 2009 City (Day 14) Coffee Stand,2009,220,17,208,220,City,217.0
168,242,1,6118-1,5867,Wheels,2008,48,106,45,48,Supplemental,22.0
169,243,1,71220-1,7645,LEGO® DIMENSIONS™ Gimli Fun Pack,2015,604,56,608,604,Dimensions,
170,245,1,7662-1,8527,Trade Federation MTT,2007,166,1326,157,166,Star Wars Episode 1,158.0
171,246,1,4098-1,3312,High Flyers,2003,204,197,512,204,Designer Sets,
172,248,1,20019-1,1366,Slave I,2011,163,76,154,163,Star Wars Episode 4/5/6,159.0
173,250,1,5808-1,5393,The Enchanted Palace,1999,319,216,283,319,Fairy-Tale,318.0
